Date,Value1,Value2
2013-06-27 14,14,14.0
2013-06-27 15,22,11.0
2013-06-27 16,16,21.0
2013-06-27 17,28,14.0
2013-06-27 18,15,25.0
2013-06-27 19,21,25.0
2013-06-27 20,19,17.0
2013-06-27 21,1,4.0
2013-06-27 22,2,2.0
2013-06-27 23,4,0.0
2013-06-28 00,2,0.0
2013-06-28 01,0,3.0
2013-06-28 02,0,1.0
2013-06-28 03,0,0.0
2013-06-28 04,0,1.0
2013-06-28 05,1,0.0
2013-06-28 06,3,3.0
2013-06-28 07,7,6.0
2013-06-28 08,19,9.0
2013-06-28 09,20,12.0
2013-06-28 10,13,10.0
2013-06-28 11,12,15.0
2013-06-28 12,18,20.0
2013-06-28 13,21,15.0
2013-06-28 14,19,18.0
2013-06-28 15,20,22.0
2013-06-28 16,20,31.0
2013-06-28 17,31,36.0
2013-06-28 18,33,56.0
2013-06-28 19,24,13.0
2013-06-28 20,23,10.0
2013-06-28 21,21,13.0
2013-06-28 22,17,3.0
2013-06-28 23,7,4.0
2013-06-29 00,2,3.0
2013-06-29 01,4,2.0
2013-06-29 02,2,1.0
2013-06-29 03,0,0.0
2013-06-29 04,2,0.0
2013-06-29 05,0,0.0
2013-06-29 06,0,1.0
2013-06-29 07,3,1.0
2013-06-29 08,4,3.0
2013-06-29 09,7,7.0
2013-06-29 10,15,14.0
2013-06-29 11,16,10.0
2013-06-29 12,23,25.0
2013-06-29 13,27,19.0
2013-06-29 14,32,28.0
2013-06-29 15,31,27.0
2013-06-29 16,29,21.0
2013-06-29 17,29,38.0
2013-06-29 18,36,34.0
2013-06-29 19,20,14.0
2013-06-29 20,16,10.0
2013-06-29 21,16,11.0
2013-06-29 22,9,13.0
2013-06-29 23,5,7.0
2013-06-30 00,8,11.0
2013-06-30 01,3,2.0
2013-06-30 02,3,3.0
2013-06-30 03,1,1.0
2013-06-30 04,1,0.0
2013-06-30 05,0,0.0
2013-06-30 06,0,0.0
2013-06-30 07,3,3.0
2013-06-30 08,7,2.0
2013-06-30 09,4,3.0
2013-06-30 10,14,6.0
2013-06-30 11,12,14.0
2013-06-30 12,20,24.0
2013-06-30 13,22,18.0
2013-06-30 14,17,18.0
2013-06-30 15,13,18.0
2013-06-30 16,26,14.0
2013-06-30 17,21,18.0
2013-06-30 18,23,18.0
2013-06-30 19,12,15.0
2013-06-30 20,18,14.0
2013-06-30 21,13,7.0
2013-06-30 22,6,16.0
2013-06-30 23,5,6.0
2013-07-01 00,1,2.0
2013-07-01 01,0,2.0
2013-07-01 02,0,0.0
2013-07-01 03,1,0.0
2013-07-01 04,0,0.0
2013-07-01 05,1,0.0
2013-07-01 06,1,1.0
2013-07-01 07,7,3.0
2013-07-01 08,15,5.0
2013-07-01 09,10,7.0
2013-07-01 10,0,1.0
2013-07-01 11,3,0.0
2013-07-01 12,3,8.0
2013-07-01 13,4,2.0
2013-07-01 14,2,9.0
2013-07-01 15,7,5.0
2013-07-01 16,8,14.0
2013-07-01 17,8,17.0
2013-07-01 18,16,18.0
2013-07-01 19,6,23.0
2013-07-01 20,11,5.0
2013-07-01 21,8,4.0
2013-07-01 22,7,4.0
2013-07-01 23,7,0.0
2013-07-02 00,1,1.0
2013-07-02 01,0,0.0
2013-07-02 02,0,0.0
2013-07-02 03,0,3.0
2013-07-02 04,0,0.0
2013-07-02 05,0,0.0
2013-07-02 06,3,2.0
2013-07-02 07,9,5.0
2013-07-02 08,19,10.0
2013-07-02 09,13,9.0
2013-07-02 10,8,8.0
2013-07-02 11,4,4.0
2013-07-02 12,9,8.0
2013-07-02 13,5,11.0
2013-07-02 14,13,9.0
2013-07-02 15,5,19.0
2013-07-02 16,9,23.0
2013-07-02 17,16,22.0
2013-07-02 18,32,40.0
2013-07-02 19,17,22.0
2013-07-02 20,11,6.0
2013-07-02 21,1,7.0
2013-07-02 22,4,7.0
2013-07-02 23,6,4.0
2013-07-03 00,3,3.0
2013-07-03 01,2,1.0
2013-07-03 02,1,1.0
2013-07-03 03,3,1.0
2013-07-03 04,0,0.0
2013-07-03 05,0,0.0
2013-07-03 06,3,1.0
2013-07-03 07,11,0.0
2013-07-03 08,14,9.0
2013-07-03 09,8,17.0
2013-07-03 10,6,15.0
2013-07-03 11,12,11.0
2013-07-03 12,8,9.0
2013-07-03 13,14,26.0
2013-07-03 14,2,6.0
2013-07-03 15,12,12.0
2013-07-03 16,15,29.0
